MetricObserved,Year,IncomeGroup,RegionCode,RegionDisplay,CountryCode,CountryDisplay,SexCode,SexDisplay,Numeric,beer_servings,spirit_servings,wine_servings
Life expectancy at birth (years),1990,Lower_middle_income,EUR,Europe,ALB,Albania,MLE,Male,67,89,132,54
Healthy life expectancy (HALE) at birth (years),2013,Lower_middle_income,EUR,Europe,ALB,Albania,BTSX,Both sexes,64.8,89,132,54
Healthy life expectancy (HALE) at birth (years),2013,Lower_middle_income,EUR,Europe,ALB,Albania,FMLE,Female,66,89,132,54
Healthy life expectancy (HALE) at birth (years),2013,Lower_middle_income,EUR,Europe,ALB,Albania,MLE,Male,63.7,89,132,54
Healthy life expectancy (HALE) at birth (years),2012,Lower_middle_income,EUR,Europe,ALB,Albania,BTSX,Both sexes,64.7,89,132,54
Healthy life expectancy (HALE) at birth (years),2012,Lower_middle_income,EUR,Europe,ALB,Albania,FMLE,Female,65.9,89,132,54
Healthy life expectancy (HALE) at birth (years),2012,Lower_middle_income,EUR,Europe,ALB,Albania,MLE,Male,63.5,89,132,54
Healthy life expectancy (HALE) at birth (years),2000,Lower_middle_income,EUR,Europe,ALB,Albania,BTSX,Both sexes,61.8,89,132,54
Healthy life expectancy (HALE) at birth (years),2000,Lower_middle_income,EUR,Europe,ALB,Albania,FMLE,Female,63.9,89,132,54
Healthy life expectancy (HALE) at birth (years),2000,Lower_middle_income,EUR,Europe,ALB,Albania,MLE,Male,59.9,89,132,54
Life expectancy at age 60 (years),2013,,EUR,Europe,ALB,Albania,BTSX,Both sexes,18.90358,89,132,54
Life expectancy at age 60 (years),2013,,EUR,Europe,ALB,Albania,FMLE,Female,19.73003,89,132,54
Life expectancy at age 60 (years),2013,,EUR,Europe,ALB,Albania,MLE,Male,18.10971,89,132,54
Life expectancy at age 60 (years),2012,Lower_middle_income,EUR,Europe,ALB,Albania,BTSX,Both sexes,19,89,132,54
Life expectancy at age 60 (years),2012,Lower_middle_income,EUR,Europe,ALB,Albania,FMLE,Female,20,89,132,54
Life expectancy at age 60 (years),2012,Lower_middle_income,EUR,Europe,ALB,Albania,MLE,Male,18,89,132,54
Life expectancy at age 60 (years),2000,Lower_middle_income,EUR,Europe,ALB,Albania,BTSX,Both sexes,17,89,132,54
Life expectancy at age 60 (years),2000,Lower_middle_income,EUR,Europe,ALB,Albania,FMLE,Female,18,89,132,54
Life expectancy at age 60 (years),2000,Lower_middle_income,EUR,Europe,ALB,Albania,MLE,Male,15,89,132,54
Life expectancy at age 60 (years),1990,Lower_middle_income,EUR,Europe,ALB,Albania,BTSX,Both sexes,16,89,132,54
Life expectancy at age 60 (years),1990,Lower_middle_income,EUR,Europe,ALB,Albania,FMLE,Female,18,89,132,54
Life expectancy at age 60 (years),1990,Lower_middle_income,EUR,Europe,ALB,Albania,MLE,Male,15,89,132,54
Life expectancy at birth (years),2013,,AFR,Africa,DZA,Algeria,BTSX,Both sexes,71.82955,25,0,14
Life expectancy at birth (years),2013,,AFR,Africa,DZA,Algeria,FMLE,Female,73.51464,25,0,14
Life expectancy at birth (years),2013,,AFR,Africa,DZA,Algeria,MLE,Male,70.25095,25,0,14
Life expectancy at birth (years),2012,Upper_middle_income,AFR,Africa,DZA,Algeria,BTSX,Both sexes,72,25,0,14
Life expectancy at birth (years),2012,Upper_middle_income,AFR,Africa,DZA,Algeria,FMLE,Female,73,25,0,14
Life expectancy at birth (years),2012,Upper_middle_income,AFR,Africa,DZA,Algeria,MLE,Male,70,25,0,14
Life expectancy at birth (years),2000,Upper_middle_income,AFR,Africa,DZA,Algeria,BTSX,Both sexes,70,25,0,14
Life expectancy at birth (years),2000,Upper_middle_income,AFR,Africa,DZA,Algeria,FMLE,Female,71,25,0,14
Life expectancy at birth (years),2000,Upper_middle_income,AFR,Africa,DZA,Algeria,MLE,Male,68,25,0,14
Life expectancy at birth (years),1990,Upper_middle_income,AFR,Africa,DZA,Algeria,BTSX,Both sexes,68,25,0,14
Life expectancy at birth (years),1990,Upper_middle_income,AFR,Africa,DZA,Algeria,FMLE,Female,69,25,0,14
Life expectancy at birth (years),1990,Upper_middle_income,AFR,Africa,DZA,Algeria,MLE,Male,66,25,0,14
Healthy life expectancy (HALE) at birth (years),2013,Upper_middle_income,AFR,Africa,DZA,Algeria,BTSX,Both sexes,62.4,25,0,14
Healthy life expectancy (HALE) at birth (years),2013,Upper_middle_income,AFR,Africa,DZA,Algeria,FMLE,Female,63.2,25,0,14
Healthy life expectancy (HALE) at birth (years),2013,Upper_middle_income,AFR,Africa,DZA,Algeria,MLE,Male,61.7,25,0,14
Healthy life expectancy (HALE) at birth (years),2012,Upper_middle_income,AFR,Africa,DZA,Algeria,BTSX,Both sexes,62.2,25,0,14
Healthy life expectancy (HALE) at birth (years),2012,Upper_middle_income,AFR,Africa,DZA,Algeria,FMLE,Female,63,25,0,14
Healthy life expectancy (HALE) at birth (years),2012,Upper_middle_income,AFR,Africa,DZA,Algeria,MLE,Male,61.6,25,0,14
Healthy life expectancy (HALE) at birth (years),2000,Upper_middle_income,AFR,Africa,DZA,Algeria,BTSX,Both sexes,60.2,25,0,14
Healthy life expectancy (HALE) at birth (years),2000,Upper_middle_income,AFR,Africa,DZA,Algeria,FMLE,Female,60.9,25,0,14
Healthy life expectancy (HALE) at birth (years),2000,Upper_middle_income,AFR,Africa,DZA,Algeria,MLE,Male,59.4,25,0,14
Life expectancy at age 60 (years),2013,,AFR,Africa,DZA,Algeria,BTSX,Both sexes,17.8669,25,0,14
Life expectancy at age 60 (years),2013,,AFR,Africa,DZA,Algeria,FMLE,Female,18.86222,25,0,14
Life expectancy at age 60 (years),2013,,AFR,Africa,DZA,Algeria,MLE,Male,16.90162,25,0,14
Life expectancy at age 60 (years),2012,Upper_middle_income,AFR,Africa,DZA,Algeria,BTSX,Both sexes,18,25,0,14
Life expectancy at age 60 (years),2012,Upper_middle_income,AFR,Africa,DZA,Algeria,FMLE,Female,19,25,0,14
Life expectancy at age 60 (years),2012,Upper_middle_income,AFR,Africa,DZA,Algeria,MLE,Male,17,25,0,14
Life expectancy at age 60 (years),2000,Upper_middle_income,AFR,Africa,DZA,Algeria,BTSX,Both sexes,18,25,0,14
Life expectancy at age 60 (years),2000,Upper_middle_income,AFR,Africa,DZA,Algeria,FMLE,Female,18,25,0,14
Life expectancy at age 60 (years),2000,Upper_middle_income,AFR,Africa,DZA,Algeria,MLE,Male,17,25,0,14
Life expectancy at age 60 (years),1990,Upper_middle_income,AFR,Africa,DZA,Algeria,BTSX,Both sexes,17,25,0,14
Life expectancy at age 60 (years),1990,Upper_middle_income,AFR,Africa,DZA,Algeria,FMLE,Female,18,25,0,14
Life expectancy at age 60 (years),1990,Upper_middle_income,AFR,Africa,DZA,Algeria,MLE,Male,16,25,0,14
Life expectancy at birth (years),2013,,EUR,Europe,AND,Andorra,BTSX,Both sexes,82.65301,245,138,312
Life expectancy at birth (years),2013,,EUR,Europe,AND,Andorra,FMLE,Female,85.83038,245,138,312
Life expectancy at birth (years),2013,,EUR,Europe,AND,Andorra,MLE,Male,79.43845,245,138,312
Life expectancy at birth (years),2012,High_income,EUR,Europe,AND,Andorra,BTSX,Both sexes,83,245,138,312
Life expectancy at birth (years),2012,High_income,EUR,Europe,AND,Andorra,FMLE,Female,86,245,138,312
Life expectancy at birth (years),2012,High_income,EUR,Europe,AND,Andorra,MLE,Male,79,245,138,312
Life expectancy at birth (years),2000,High_income,EUR,Europe,AND,Andorra,BTSX,Both sexes,80,245,138,312
Life expectancy at birth (years),2000,High_income,EUR,Europe,AND,Andorra,FMLE,Female,83,245,138,312
Life expectancy at birth (years),2000,High_income,EUR,Europe,AND,Andorra,MLE,Male,76,245,138,312
Life expectancy at birth (years),1990,High_income,EUR,Europe,AND,Andorra,BTSX,Both sexes,77,245,138,312
Life expectancy at birth (years),1990,High_income,EUR,Europe,AND,Andorra,FMLE,Female,81,245,138,312
Life expectancy at birth (years),1990,High_income,EUR,Europe,AND,Andorra,MLE,Male,74,245,138,312
Healthy life expectancy (HALE) at birth (years),2013,High_income,EUR,Europe,AND,Andorra,BTSX,Both sexes,71.8,245,138,312
Healthy life expectancy (HALE) at birth (years),2013,High_income,EUR,Europe,AND,Andorra,FMLE,Female,74,245,138,312
Healthy life expectancy (HALE) at birth (years),2013,High_income,EUR,Europe,AND,Andorra,MLE,Male,69.6,245,138,312
Healthy life expectancy (HALE) at birth (years),2012,High_income,EUR,Europe,AND,Andorra,BTSX,Both sexes,71.7,245,138,312
Healthy life expectancy (HALE) at birth (years),2012,High_income,EUR,Europe,AND,Andorra,FMLE,Female,73.9,245,138,312
Healthy life expectancy (HALE) at birth (years),2012,High_income,EUR,Europe,AND,Andorra,MLE,Male,69.5,245,138,312
Healthy life expectancy (HALE) at birth (years),2000,High_income,EUR,Europe,AND,Andorra,BTSX,Both sexes,69.4,245,138,312
Healthy life expectancy (HALE) at birth (years),2000,High_income,EUR,Europe,AND,Andorra,FMLE,Female,71.9,245,138,312
Healthy life expectancy (HALE) at birth (years),2000,High_income,EUR,Europe,AND,Andorra,MLE,Male,66.9,245,138,312
Life expectancy at age 60 (years),2013,,EUR,Europe,AND,Andorra,BTSX,Both sexes,25.27306,245,138,312
Life expectancy at age 60 (years),2013,,EUR,Europe,AND,Andorra,FMLE,Female,27.65348,245,138,312
Life expectancy at age 60 (years),2013,,EUR,Europe,AND,Andorra,MLE,Male,22.69289,245,138,312
Life expectancy at age 60 (years),2012,High_income,EUR,Europe,AND,Andorra,BTSX,Both sexes,25,245,138,312
Life expectancy at age 60 (years),2012,High_income,EUR,Europe,AND,Andorra,FMLE,Female,28,245,138,312
Life expectancy at age 60 (years),2012,High_income,EUR,Europe,AND,Andorra,MLE,Male,23,245,138,312
Life expectancy at age 60 (years),2000,High_income,EUR,Europe,AND,Andorra,BTSX,Both sexes,23,245,138,312
Life expectancy at age 60 (years),2000,High_income,EUR,Europe,AND,Andorra,FMLE,Female,26,245,138,312
Life expectancy at age 60 (years),2000,High_income,EUR,Europe,AND,Andorra,MLE,Male,21,245,138,312
Life expectancy at age 60 (years),1990,High_income,EUR,Europe,AND,Andorra,BTSX,Both sexes,22,245,138,312
Life expectancy at age 60 (years),1990,High_income,EUR,Europe,AND,Andorra,FMLE,Female,24,245,138,312
Life expectancy at age 60 (years),1990,High_income,EUR,Europe,AND,Andorra,MLE,Male,19,245,138,312
Life expectancy at birth (years),2013,,AFR,Africa,AGO,Angola,BTSX,Both sexes,51.74093,217,57,45
Life expectancy at birth (years),2013,,AFR,Africa,AGO,Angola,FMLE,Female,53.19343,217,57,45
Life expectancy at birth (years),2013,,AFR,Africa,AGO,Angola,MLE,Male,50.29145,217,57,45
Life expectancy at birth (years),2012,Lower_middle_income,AFR,Africa,AGO,Angola,BTSX,Both sexes,51,217,57,45
Life expectancy at birth (years),2012,Lower_middle_income,AFR,Africa,AGO,Angola,FMLE,Female,52,217,57,45
Life expectancy at birth (years),2012,Lower_middle_income,AFR,Africa,AGO,Angola,MLE,Male,50,217,57,45
Life expectancy at birth (years),2000,Lower_middle_income,AFR,Africa,AGO,Angola,BTSX,Both sexes,46,217,57,45
Life expectancy at birth (years),2000,Lower_middle_income,AFR,Africa,AGO,Angola,FMLE,Female,47,217,57,45
Life expectancy at birth (years),2000,Lower_middle_income,AFR,Africa,AGO,Angola,MLE,Male,44,217,57,45
Life expectancy at birth (years),1990,Lower_middle_income,AFR,Africa,AGO,Angola,BTSX,Both sexes,43,217,57,45
Life expectancy at birth (years),1990,Lower_middle_income,AFR,Africa,AGO,Angola,FMLE,Female,45,217,57,45
Life expectancy at birth (years),1990,Lower_middle_income,AFR,Africa,AGO,Angola,MLE,Male,41,217,57,45
Healthy life expectancy (HALE) at birth (years),2013,Lower_middle_income,AFR,Africa,AGO,Angola,BTSX,Both sexes,44.5,217,57,45
Healthy life expectancy (HALE) at birth (years),2013,Lower_middle_income,AFR,Africa,AGO,Angola,FMLE,Female,45.6,217,57,45
Healthy life expectancy (HALE) at birth (years),2013,Lower_middle_income,AFR,Africa,AGO,Angola,MLE,Male,43.3,217,57,45
Healthy life expectancy (HALE) at birth (years),2012,Lower_middle_income,AFR,Africa,AGO,Angola,BTSX,Both sexes,43.9,217,57,45
Healthy life expectancy (HALE) at birth (years),2012,Lower_middle_income,AFR,Africa,AGO,Angola,FMLE,Female,44.9,217,57,45
Healthy life expectancy (HALE) at birth (years),2012,Lower_middle_income,AFR,Africa,AGO,Angola,MLE,Male,42.8,217,57,45
Healthy life expectancy (HALE) at birth (years),2000,Lower_middle_income,AFR,Africa,AGO,Angola,BTSX,Both sexes,39,217,57,45
Healthy life expectancy (HALE) at birth (years),2000,Lower_middle_income,AFR,Africa,AGO,Angola,FMLE,Female,40.1,217,57,45
Healthy life expectancy (HALE) at birth (years),2000,Lower_middle_income,AFR,Africa,AGO,Angola,MLE,Male,37.9,217,57,45
Life expectancy at age 60 (years),2013,,AFR,Africa,AGO,Angola,BTSX,Both sexes,15.7519,217,57,45
Life expectancy at age 60 (years),2013,,AFR,Africa,AGO,Angola,FMLE,Female,16.28222,217,57,45
Life expectancy at age 60 (years),2013,,AFR,Africa,AGO,Angola,MLE,Male,15.148,217,57,45
Life expectancy at age 60 (years),2012,Lower_middle_income,AFR,Africa,AGO,Angola,BTSX,Both sexes,16,217,57,45
Life expectancy at age 60 (years),2012,Lower_middle_income,AFR,Africa,AGO,Angola,FMLE,Female,16,217,57,45
Life expectancy at age 60 (years),2012,Lower_middle_income,AFR,Africa,AGO,Angola,MLE,Male,15,217,57,45
Life expectancy at age 60 (years),2000,Lower_middle_income,AFR,Africa,AGO,Angola,BTSX,Both sexes,15,217,57,45
Life expectancy at age 60 (years),2000,Lower_middle_income,AFR,Africa,AGO,Angola,FMLE,Female,15,217,57,45
Life expectancy at age 60 (years),2000,Lower_middle_income,AFR,Africa,AGO,Angola,MLE,Male,14,217,57,45
Life expectancy at age 60 (years),1990,Lower_middle_income,AFR,Africa,AGO,Angola,BTSX,Both sexes,14,217,57,45
Life expectancy at age 60 (years),1990,Lower_middle_income,AFR,Africa,AGO,Angola,FMLE,Female,14,217,57,45
Life expectancy at age 60 (years),1990,Lower_middle_income,AFR,Africa,AGO,Angola,MLE,Male,13,217,57,45
Life expectancy at birth (years),2013,,AMR,Americas,ATG,Antigua and Barbuda,BTSX,Both sexes,75.378,102,128,45
Life expectancy at birth (years),2013,,AMR,Americas,ATG,Antigua and Barbuda,FMLE,Female,77.32654,102,128,45
Life expectancy at birth (years),2013,,AMR,Americas,ATG,Antigua and Barbuda,MLE,Male,73.43759,102,128,45
Life expectancy at birth (years),2012,High_income,AMR,Americas,ATG,Antigua and Barbuda,BTSX,Both sexes,75,102,128,45
Life expectancy at birth (years),2012,High_income,AMR,Americas,ATG,Antigua and Barbuda,FMLE,Female,77,102,128,45
Life expectancy at birth (years),2012,High_income,AMR,Americas,ATG,Antigua and Barbuda,MLE,Male,73,102,128,45
Life expectancy at birth (years),2000,High_income,AMR,Americas,ATG,Antigua and Barbuda,BTSX,Both sexes,73,102,128,45
Life expectancy at birth (years),2000,High_income,AMR,Americas,ATG,Antigua and Barbuda,FMLE,Female,74,102,128,45
Life expectancy at birth (years),2000,High_income,AMR,Americas,ATG,Antigua and Barbuda,MLE,Male,72,102,128,45
Life expectancy at birth (years),1990,High_income,AMR,Americas,ATG,Antigua and Barbuda,BTSX,Both sexes,71,102,128,45
Life expectancy at birth (years),1990,High_income,AMR,Americas,ATG,Antigua and Barbuda,FMLE,Female,72,102,128,45
Life expectancy at birth (years),1990,High_income,AMR,Americas,ATG,Antigua and Barbuda,MLE,Male,70,102,128,45
Healthy life expectancy (HALE) at birth (years),2013,High_income,AMR,Americas,ATG,Antigua and Barbuda,BTSX,Both sexes,64.1,102,128,45
Healthy life expectancy (HALE) at birth (years),2013,High_income,AMR,Americas,ATG,Antigua and Barbuda,FMLE,Female,65.6,102,128,45
Healthy life expectancy (HALE) at birth (years),2013,High_income,AMR,Americas,ATG,Antigua and Barbuda,MLE,Male,62.5,102,128,45
Healthy life expectancy (HALE) at birth (years),2012,High_income,AMR,Americas,ATG,Antigua and Barbuda,BTSX,Both sexes,64.3,102,128,45
Healthy life expectancy (HALE) at birth (years),2012,High_income,AMR,Americas,ATG,Antigua and Barbuda,FMLE,Female,65.8,102,128,45
Healthy life expectancy (HALE) at birth (years),2012,High_income,AMR,Americas,ATG,Antigua and Barbuda,MLE,Male,62.8,102,128,45
Healthy life expectancy (HALE) at birth (years),2000,High_income,AMR,Americas,ATG,Antigua and Barbuda,BTSX,Both sexes,63.8,102,128,45
Healthy life expectancy (HALE) at birth (years),2000,High_income,AMR,Americas,ATG,Antigua and Barbuda,FMLE,Female,64.8,102,128,45
Healthy life expectancy (HALE) at birth (years),2000,High_income,AMR,Americas,ATG,Antigua and Barbuda,MLE,Male,62.9,102,128,45
Life expectancy at age 60 (years),2013,,AMR,Americas,ATG,Antigua and Barbuda,BTSX,Both sexes,22.22126,102,128,45
Life expectancy at age 60 (years),2013,,AMR,Americas,ATG,Antigua and Barbuda,FMLE,Female,23.32367,102,128,45
Life expectancy at age 60 (years),2013,,AMR,Americas,ATG,Antigua and Barbuda,MLE,Male,21.04654,102,128,45
Life expectancy at age 60 (years),2012,High_income,AMR,Americas,ATG,Antigua and Barbuda,BTSX,Both sexes,22,102,128,45
Life expectancy at age 60 (years),2012,High_income,AMR,Americas,ATG,Antigua and Barbuda,FMLE,Female,23,102,128,45
Life expectancy at age 60 (years),2012,High_income,AMR,Americas,ATG,Antigua and Barbuda,MLE,Male,21,102,128,45
Life expectancy at age 60 (years),2000,High_income,AMR,Americas,ATG,Antigua and Barbuda,BTSX,Both sexes,20,102,128,45
Life expectancy at age 60 (years),2000,High_income,AMR,Americas,ATG,Antigua and Barbuda,FMLE,Female,20,102,128,45
Life expectancy at age 60 (years),2000,High_income,AMR,Americas,ATG,Antigua and Barbuda,MLE,Male,20,102,128,45
Life expectancy at age 60 (years),1990,High_income,AMR,Americas,ATG,Antigua and Barbuda,BTSX,Both sexes,17,102,128,45
Life expectancy at age 60 (years),1990,High_income,AMR,Americas,ATG,Antigua and Barbuda,FMLE,Female,18,102,128,45
Life expectancy at age 60 (years),1990,High_income,AMR,Americas,ATG,Antigua and Barbuda,MLE,Male,17,102,128,45
Life expectancy at birth (years),2013,,AMR,Americas,ARG,Argentina,BTSX,Both sexes,76.31537,193,25,221
Life expectancy at birth (years),2013,,AMR,Americas,ARG,Argentina,FMLE,Female,79.61579,193,25,221
Life expectancy at birth (years),2013,,AMR,Americas,ARG,Argentina,MLE,Male,72.90565,193,25,221
Life expectancy at birth (years),2012,Upper_middle_income,AMR,Americas,ARG,Argentina,BTSX,Both sexes,76,193,25,221
Life expectancy at birth (years),2012,Upper_middle_income,AMR,Americas,ARG,Argentina,FMLE,Female,79,193,25,221
Life expectancy at birth (years),2012,Upper_middle_income,AMR,Americas,ARG,Argentina,MLE,Male,73,193,25,221
Life expectancy at birth (years),2000,Upper_middle_income,AMR,Americas,ARG,Argentina,BTSX,Both sexes,75,193,25,221
Life expectancy at birth (years),2000,Upper_middle_income,AMR,Americas,ARG,Argentina,FMLE,Female,78,193,25,221
Life expectancy at birth (years),2000,Upper_middle_income,AMR,Americas,ARG,Argentina,MLE,Male,71,193,25,221
Life expectancy at birth (years),1990,Upper_middle_income,AMR,Americas,ARG,Argentina,BTSX,Both sexes,73,193,25,221
Life expectancy at birth (years),1990,Upper_middle_income,AMR,Americas,ARG,Argentina,FMLE,Female,76,193,25,221
Life expectancy at birth (years),1990,Upper_middle_income,AMR,Americas,ARG,Argentina,MLE,Male,69,193,25,221
Healthy life expectancy (HALE) at birth (years),2013,Upper_middle_income,AMR,Americas,ARG,Argentina,BTSX,Both sexes,66.7,193,25,221
Healthy life expectancy (HALE) at birth (years),2013,Upper_middle_income,AMR,Americas,ARG,Argentina,FMLE,Female,69.2,193,25,221
Healthy life expectancy (HALE) at birth (years),2013,Upper_middle_income,AMR,Americas,ARG,Argentina,MLE,Male,64.1,193,25,221
Healthy life expectancy (HALE) at birth (years),2012,Upper_middle_income,AMR,Americas,ARG,Argentina,BTSX,Both sexes,66.5,193,25,221
Healthy life expectancy (HALE) at birth (years),2012,Upper_middle_income,AMR,Americas,ARG,Argentina,FMLE,Female,69,193,25,221
Healthy life expectancy (HALE) at birth (years),2012,Upper_middle_income,AMR,Americas,ARG,Argentina,MLE,Male,63.9,193,25,221
Healthy life expectancy (HALE) at birth (years),2000,Upper_middle_income,AMR,Americas,ARG,Argentina,BTSX,Both sexes,65.1,193,25,221
Healthy life expectancy (HALE) at birth (years),2000,Upper_middle_income,AMR,Americas,ARG,Argentina,FMLE,Female,68,193,25,221
Healthy life expectancy (HALE) at birth (years),2000,Upper_middle_income,AMR,Americas,ARG,Argentina,MLE,Male,62.2,193,25,221
Life expectancy at age 60 (years),2013,,AMR,Americas,ARG,Argentina,BTSX,Both sexes,21.51349,193,25,221
Life expectancy at age 60 (years),2013,,AMR,Americas,ARG,Argentina,FMLE,Female,23.73138,193,25,221
Life expectancy at age 60 (years),2013,,AMR,Americas,ARG,Argentina,MLE,Male,18.97374,193,25,221
Life expectancy at age 60 (years),2012,Upper_middle_income,AMR,Americas,ARG,Argentina,BTSX,Both sexes,21,193,25,221
Life expectancy at age 60 (years),2012,Upper_middle_income,AMR,Americas,ARG,Argentina,FMLE,Female,24,193,25,221
Life expectancy at age 60 (years),2012,Upper_middle_income,AMR,Americas,ARG,Argentina,MLE,Male,19,193,25,221
Life expectancy at age 60 (years),2000,Upper_middle_income,AMR,Americas,ARG,Argentina,BTSX,Both sexes,21,193,25,221
Life expectancy at age 60 (years),2000,Upper_middle_income,AMR,Americas,ARG,Argentina,FMLE,Female,23,193,25,221
Life expectancy at age 60 (years),2000,Upper_middle_income,AMR,Americas,ARG,Argentina,MLE,Male,18,193,25,221
Life expectancy at age 60 (years),1990,Upper_middle_income,AMR,Americas,ARG,Argentina,BTSX,Both sexes,20,193,25,221
